window,declared_step_start,declared_step_end,covered_step_start,covered_step_end,sample_count,first_wall_unix,last_wall_unix,sum_model_flops_per_second,sum_reciprocal_model_flops_per_second,mean_model_flops_per_second,harmonic_model_flops_per_second,sum_tokens_per_second,harmonic_tokens_per_second,covered_logger_seconds
22,10501,11000,10501,11000,500,1788409302.923460,1788449864.236358,46917870512242688.000000,5.33037318352470029e-12,93835741024485.375000,93802062779659.984375,6414963.145508,12825.321547576,40719.446920899
23,11001,11500,11001,11500,500,1788450020.878380,1788490571.312980,46931582715428864.000000,5.32875204334254777e-12,93863165430857.734375,93830599722626.000000,6416838.010742,12829.223392753,40707.062618850
24,11501,12000,11501,12000,500,1788490730.128631,1788531286.286918,46923357014196224.000000,5.32978600624298105e-12,93846714028392.453125,93812396860649.000000,6415713.307617,12826.734515512,40714.961346431
25,12001,12500,12001,12500,500,1788531459.096875,1788572013.619591,46914926211497984.000000,5.33141504034136447e-12,93829852422995.968750,93783732126768.656250,6414560.604492,12822.815297004,40727.405636266
26,12501,13000,12501,13000,500,1788572174.105810,1788612719.598958,46934385710071808.000000,5.32860521737348636e-12,93868771420143.609375,93833185158808.625000,6417221.268555,12829.576915668,40705.940923290
27,13001,13500,13001,13500,500,1788612870.360879,1788653425.458144,46930676930314240.000000,5.32859873340235425e-12,93861353860628.484375,93833299337356.156250,6416714.145508,12829.592466046,40705.891584797
28,13501,14000,13501,14000,500,1788653579.731986,1788694128.177348,46935606999121920.000000,5.32818994760442407e-12,93871213998243.843750,93840498352503.750000,6417388.222656,12830.576772501,40702.768804540
29,14001,14500,14001,14500,500,1788694284.396048,1788734837.781613,46928481430274048.000000,5.32907684366746263e-12,93856962860548.093750,93824880869216.500000,6416413.971680,12828.441453148,40709.543860595
30,14501,15000,14501,15000,500,1788735021.160092,1788775562.694914,46922810731266048.000000,5.33108592822242195e-12,93845621462532.093750,93789521822004.875000,6415638.627930,12823.606893494,40724.891548644
31,15001,15500,15001,15500,500,1788775744.712975,1788816285.946485,46923821097156608.000000,5.33089251357529638e-12,93847642194313.218750,93792924679447.812500,6415776.760742,12824.072133025,40723.414106124
32,15501,16000,15501,16000,500,1788816446.199967,1788856988.991765,46937586349899776.000000,5.32822690705568668e-12,93875172699799.546875,93839847424270.812500,6417658.849609,12830.487762544,40703.051175075
